"filename", "language", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\Users\rache\catbook\MedicalManagementApp\server\AuditService.ts", "TypeScript", 183, 0, 34, 25, 242
"c:\Users\rache\catbook\MedicalManagementApp\server\EncryptedPrismaService.ts", "TypeScript", 153, 0, 45, 37, 235
"c:\Users\rache\catbook\MedicalManagementApp\server\audit.ts", "TypeScript", 45, 0, 6, 12, 63
"c:\Users\rache\catbook\MedicalManagementApp\server\auth.js", "JavaScript", 0, 52, 3, 10, 65
"c:\Users\rache\catbook\MedicalManagementApp\server\useAuth.js", "JavaScript", 0, 165, 5, 31, 201
"Total", "-", 381, 217, 93, 115, 806
